电影名,电影年份,电影数据,电影标签,电影时长,电影评分,电影语言,电影导演,电影作者,电影口号,电影描述
阿甘正传,(1994),2020-08-25 (CN),"喜剧,剧情,爱情",2h 22m,85,英语,温斯顿·格鲁姆,罗伯特·泽米吉斯,人生就像一盒巧克力，你永远不知道下一块会是什么味道,阿甘出生在美国南方阿拉巴马州一个闭塞的小镇，智商只有75，然而他的妈妈是一位性格坚强的女性，她常常鼓励阿甘要自强不息。阿甘像普通孩子一样上学，并认识了一生的朋友和挚爱珍妮。在珍妮和妈妈的爱护下，阿甘凭着自己出众的奔跑能力，开始了一生不停的奔跑。他先后成为橄榄球明星、越战英雄、乒乓球外交使者和亿万富翁，但始终忘不了珍妮。一次次匆匆的相聚与离别，更加深了阿甘对她的思念。有一天，阿甘收到珍妮的来信，他们终于又要见面……
切腹,(1962),1962-09-15 (JP),"动作,剧情,历史",2h 15m,85,日语,安彦滉,小林正树,男人的尊严，男人的挣扎。,家族没落后，失业武士仲代达矢来到井伊藩主的宅邸，请求允许他在此切腹自尽。藩主家臣认定这名走投无路的浪人只是想讨份差事，遂逼迫他当场切腹——却低估了他坚守的信念与对尊严的执着。本片由小林正树执导，荣获戛纳电影节评委会特别奖，以凌厉笔触刻画了个体在腐朽伪善体制下的抗争。
Selena Gomez: My Mind & Me,(2022),2022-11-02 (US),"纪录,音乐",1h 35m,85,英语,Paul Marchand,阿莱克·凯西西恩,"Every breath, a breakthrough.",在聚光灯下多年之后，赛琳娜·戈麦斯获得了难以想象的明星地位。但就在她到达一个新的高峰时，一个意外的转折把她拉进了黑暗。这部独特的、亲密的纪录片跨越了她六年的旅程，展现了她新的光芒。
七武士,(1954),1954-04-26 (JP),"动作,剧情",3h 27m,85,日语,桥本忍,黑泽明,在悬念和场面方面无与伦比！,这部影史最具震撼力的史诗巨制，讲述十六世纪某村庄的绝望村民雇佣七位武士抵御山贼侵袭的故事。黑泽明历时三个多小时的银幕征程，通过传奇演员三船敏郎与志村乔的演绎，将哲学沉思与娱乐观赏、细腻人情与激烈战斗完美交融，铸就这部关于勇气与希望的丰碑之作——其故事之丰饶、意境之深远，令人过目难忘。[标准收藏]
好家伙,(1990),1990-09-19 (US),"剧情,犯罪",2h 25m,85,英语,尼古拉斯·皮莱吉,马丁·斯科塞斯,在黑手党中度过的三十年人生。,本片根据真实故事改编，讲述了纽约黑手党血腥的江湖恩怨，把所谓的“江湖道义”还原为人性的丑陋与贪婪。
萤火虫之墓,(1988),1988-04-16 (JP),"动画,剧情,战争",1h 29m,84,日语,,高畑勋,为何萤火虫的生命如此短暂？,1945年，第二次世界大战接近尾声，日本神户在空袭中化为一片火海。14岁的清太带着4岁的妹妹节子逃过轰炸，却在灾难中失去了母亲，而在海军服役的父亲也远在战场。无家可归的兄妹只得寄住在亲戚家中，但随着战争持续、物资愈发匮乏，寄人篱下的生活也变得越来越艰难。最终，清太带着节子离开亲戚家，住进一处废弃的防空洞，试图只依靠彼此活下去。在被战争摧毁的日常中，微弱的萤火与短暂的欢笑，也成为兄妹俩所能拥有的少数温暖……
指环王1：护戒使者,(2001),2002-04-04 (CN),"冒险,奇幻,动作",3h 48m,84,英语,J.R.R.托尔金,彼得·杰克逊,至尊戒，驭众戒！,J.R.R.托尔金的文学巨著首次以电影形式磅礴呈现——这是一场正义对抗邪恶的史诗冒险，一段关于友谊力量与个人勇气的传奇，更是一次为人类纪元开辟道路的英雄征程。
要不要做我儿子？,(2023),2023-09-21 (US),"喜剧,爱情",2h 20m,84,英语,,Ihtzi Hurtado,简介,四十岁的卢发现相伴十五年的伴侣出轨，生活瞬间崩塌。她在重建自我的过程中，与一位年轻放浪的男子产生了出乎意料的关系。
美丽人生,(1997),1997-12-20 (IT),"喜剧,剧情",1h 56m,84,意大利语,文森佐·塞拉米,罗伯托·贝尼尼,最美丽的谎言。,1939年的意大利，乐观幽默的犹太青年圭多邂逅了女教师多拉。经过一连串阴差阳错，两人相爱成家，并有了儿子乔舒亚。然而随着战争的阴影逼近，圭多和儿子因犹太身份被强行送往集中营，没有犹太血统的多拉也毅然选择同行。为了保护年幼的乔舒亚免受残酷现实的伤害，圭多把集中营里的生活编成一场游戏，并告诉他获胜的奖品是一辆真正的坦克。在恐惧与苦难之中，圭多用幽默、想象和父爱守护着儿子的童真，也始终怀抱着一家人再次团聚的希望……
搏击俱乐部,(1999),1999-10-15 (US),"剧情,惊悚",2h 19m,84,英语,恰克·帕拉尼克,大卫·芬奇,搏击俱乐部的第一条规则是你不要谈论搏击俱乐部,杰克( 爱德华·诺顿 Edward Norton 饰)是一个充满中年危机意识的人，他非常憎恨自己的生活及一切，再加上他患有严重的失眠症，所以他常常参加各种团体咨询会，只为了能接触人群。在某一个团体咨询会上，杰克遇上了一个跟他同样理由来参加的女烟枪，玛拉(海伦娜·邦汉·卡特 Helena Bonham Carter  饰)，在莫名激素的影响下，杰克和玛拉一起逃离了咨询会，两人的情愫因而滋生…  一个偶然的机会，杰克遇到了卖肥皂的商人泰勒(布拉德·皮特 Brad Pitt 饰)，一个浑身充满叛逆、残酷和暴烈的痞子英雄，并因为自己公寓失火而住进了泰勒破旧不堪的家中。两人因缘际会地成为了好朋友，并创立了“搏击俱乐部”：一个让人们不戴护具而徒手搏击，宗旨在于发泄情绪的地下组织。
